cp.usst.edu.cn                	222.66.119.25
mail.usst.edu.cn              	222.66.119.17
www.usst.edu.cn               	202.120.223.7
es.usst.edu.cn                	202.120.222.180
i.usst.edu.cn                 	202.120.214.91
news.usst.edu.cn              	202.120.223.177
secure.usst.edu.cn            	10.10.20.188
ids.usst.edu.cn               	202.120.223.184
office.usst.edu.cn            	202.120.223.155
sms.usst.edu.cn               	10.1.2.153
v.usst.edu.cn                 	222.66.119.18
video.usst.edu.cn             	202.120.223.180
st.usst.edu.cn                	202.120.223.180
sc.usst.edu.cn                	202.120.223.180
my.usst.edu.cn                	202.120.214.103
blog.usst.edu.cn              	10.1.2.125
en.usst.edu.cn                	202.120.223.54
wap.usst.edu.cn               	222.66.119.22
cc.usst.edu.cn                	202.120.223.162
bbs.usst.edu.cn               	202.120.223.46
archives.usst.edu.cn          	10.1.2.63
top.usst.edu.cn               	202.120.223.52
net.usst.edu.cn               	202.120.223.180
m.usst.edu.cn                 	202.120.223.7
music.usst.edu.cn             	202.120.223.53
lab.usst.edu.cn               	202.120.217.17
res.usst.edu.cn               	202.120.214.117
d.usst.edu.cn                 	10.1.3.193
c.usst.edu.cn                 	202.120.214.23
safe.usst.edu.cn              	10.10.20.188
library.usst.edu.cn           	202.120.223.7
live.usst.edu.cn              	10.10.39.101
me.usst.edu.cn                	202.120.223.180
student.usst.edu.cn           	202.120.209.19
bs.usst.edu.cn                	202.120.223.172
archive.usst.edu.cn           	10.10.39.136
ftp.usst.edu.cn               	10.10.39.250
mobile.usst.edu.cn            	202.120.214.114
google.usst.edu.cn            	10.10.41.100
writing.usst.edu.cn           	10.10.15.61
community.usst.edu.cn         	202.120.223.53
journals.usst.edu.cn          	223.223.187.105
sea.usst.edu.cn               	202.120.223.180
vpn.usst.edu.cn               	202.120.223.44
out.usst.edu.cn               	202.120.223.188
antivirus.usst.edu.cn         	10.10.39.110
file.usst.edu.cn              	202.120.214.114
aq.usst.edu.cn                	202.120.214.22
ie.usst.edu.cn                	202.120.223.118
vm.usst.edu.cn                	202.120.223.195
ky.usst.edu.cn                	202.120.214.103
ks.usst.edu.cn                	202.120.223.177
mm.usst.edu.cn                	10.10.39.110
ms.usst.edu.cn                	10.10.39.99
rc.usst.edu.cn                	202.120.223.69
dns3.usst.edu.cn              	202.120.223.8
re.usst.edu.cn                	202.120.223.52
rs.usst.edu.cn                	202.120.214.103
int.usst.edu.cn               	202.120.215.110
pop3.usst.edu.cn              	222.66.119.17
ad.usst.edu.cn                	10.10.39.98
oa.usst.edu.cn                	10.1.2.123
pop.usst.edu.cn               	222.66.119.17
dns2.usst.edu.cn              	202.120.223.5
dns1.usst.edu.cn              	202.120.223.6
gis.usst.edu.cn               	202.120.214.102
map.usst.edu.cn               	202.120.214.102
ntp.usst.edu.cn               	10.10.39.71
sx.usst.edu.cn                	202.120.223.136
x.usst.edu.cn                 	202.120.215.112
jk.usst.edu.cn                	10.1.2.80
view.usst.edu.cn              	202.120.223.193
imap.usst.edu.cn              	222.66.119.17
jwc.usst.edu.cn               	202.120.223.7
vod.usst.edu.cn               	202.120.214.112
idp.usst.edu.cn               	202.120.223.167
exam.usst.edu.cn              	10.1.11.3
movie.usst.edu.cn             	10.10.39.31
ip.usst.edu.cn                	202.120.223.53
cacti.usst.edu.cn             	10.10.20.179
print.usst.edu.cn             	10.1.2.137
cw.usst.edu.cn                	10.10.39.57
ipv6.usst.edu.cn              	202.120.223.168
cwc.usst.edu.cn               	202.120.223.7
study.usst.edu.cn             	10.10.39.71
opac.usst.edu.cn              	202.120.218.6
xb.usst.edu.cn                	202.120.223.7
arch.usst.edu.cn              	10.1.2.63
ccs.usst.edu.cn               	202.120.223.167
sbc.usst.edu.cn               	211.144.121.153
cy.usst.edu.cn                	106.75.154.53
yx.usst.edu.cn                	202.120.214.101
xy.usst.edu.cn                	202.120.223.54
volunteer.usst.edu.cn         	202.120.223.177
lx.usst.edu.cn                	202.120.214.103
xg.usst.edu.cn                	202.120.223.185
cognos.usst.edu.cn            	222.66.119.16
qd.usst.edu.cn                	10.1.2.80
ssc.usst.edu.cn               	202.120.223.81
wk.usst.edu.cn                	202.120.222.121
carbon.usst.edu.cn            	202.120.223.54
jg.usst.edu.cn                	202.120.223.54
hj.usst.edu.cn                	202.120.223.52
console.usst.edu.cn           	202.120.214.114
gx.usst.edu.cn                	202.120.214.18
zc.usst.edu.cn                	10.1.2.232
cec.usst.edu.cn               	202.120.217.18
bis.usst.edu.cn               	222.66.119.16
mem.usst.edu.cn               	202.120.217.160
news1.usst.edu.cn             	202.120.223.177
icp.usst.edu.cn               	202.120.223.53
zl.usst.edu.cn                	10.1.11.14
zhaopin.usst.edu.cn           	202.120.223.185
smp.usst.edu.cn               	202.120.214.117
caiwu.usst.edu.cn             	202.120.223.142
apis.usst.edu.cn              	202.120.214.117
sakai.usst.edu.cn             	222.66.119.18
jss.usst.edu.cn               	223.223.187.105
face.usst.edu.cn              	10.1.2.194
smtp.usst.edu.cn              	222.66.119.17
autodiscover.sbc.usst.edu.cn  	180.166.54.227
ftp.sbc.usst.edu.cn           	114.80.141.179
library.sbc.usst.edu.cn       	114.80.141.180
nagios.sbc.usst.edu.cn        	114.80.141.184
mail.sbc.usst.edu.cn          	180.166.54.227
vpn.sbc.usst.edu.cn           	114.80.141.178
www.sbc.usst.edu.cn           	202.120.208.249
imap.st.usst.edu.cn           	14.17.57.217, 183.57.48.39
mail.st.usst.edu.cn           	14.17.42.118, 183.3.235.69
pop.st.usst.edu.cn            	14.17.57.217, 183.57.48.39
